FileName,Ax,Ay,Bx,By,darker,weight
01_2021011409281020,257,462,314,519,E,0.6
01_2021011409281020,257,462,212,457,B,0.28
01_2021011409281020,257,462,334,477,E,0.6
01_2021011409281020,257,462,297,440,E,0.64
01_2021011409281020,257,462,251,412,E,1.0
01_2021011409281020,212,457,251,412,A,0.18
01_2021011409281020,371,268,373,198,E,1.0
01_2021011409281020,427,256,373,198,E,0.96
01_2021011409281020,371,268,427,256,E,1.0
01_2021011409281020,289,384,293,331,E,1.0
01_2021011409281020,343,421,332,377,E,1.0
01_2021011409281020,289,384,332,377,E,1.0
01_2021011409281020,293,331,332,377,E,1.0
01_2021011409281020,293,331,365,350,E,1.0
01_2021011409281020,365,350,332,377,E,1.0
01_2021011409281020,83,571,124,581,E,0.8
01_2021011409281020,325,43,327,106,E,1.0
01_2021011409281020,366,156,327,106,E,1.0
01_2021011409281020,319,152,366,156,E,1.0
01_2021011409281020,319,152,327,106,E,1.0
01_2021011409281020,376,104,327,106,E,1.0
01_2021011409281020,366,156,376,104,E,1.0
01_2021011409281020,421,344,378,394,E,1.0
01_2021011409281020,365,350,378,394,E,1.0
01_2021011409281020,365,350,421,344,E,1.0
01_2021011409281020,378,394,332,377,E,1.0
01_2021011409281020,343,421,378,394,E,1.0
01_2021011409281020,371,268,404,298,E,1.0
01_2021011409281020,427,256,404,298,E,1.0
01_2021011409281020,421,344,404,298,E,1.0
01_2021011409281020,365,350,404,298,E,1.0
01_2021011409281020,366,156,405,170,E,1.0
01_2021011409281020,373,198,405,170,E,1.0
01_2021011409281020,366,156,373,198,E,1.0
01_2021011409281020,376,104,405,170,E,1.0
01_2021011409281020,421,37,371,49,E,1.0
01_2021011409281020,376,104,421,37,E,1.0
01_2021011409281020,376,104,371,49,E,1.0
01_2021011409281020,371,49,327,106,E,0.64
01_2021011409281020,325,43,371,49,E,1.0
01_2021011409281020,328,195,373,198,E,1.0
01_2021011409281020,295,228,328,195,E,1.0
01_2021011409281020,328,195,366,156,E,1.0
01_2021011409281020,328,195,319,152,E,1.0
01_2021011409281020,293,331,284,283,E,1.0
01_2021011409281020,295,228,284,283,E,1.0
01_2021011409281020,421,37,446,96,E,1.0
01_2021011409281020,376,104,446,96,E,0.96
01_2021011409285679,486,235,485,165,E,0.3
01_2021011409285679,483,492,448,434,E,1.0
01_2021011409285679,483,492,415,502,B,0.96
01_2021011409285679,448,434,415,502,B,0.96
01_2021011409285679,373,333,348,263,B,0.16
01_2021011409285679,302,548,250,560,E,0.78
01_2021011409285679,415,502,377,556,E,0.96
01_2021011409285679,260,495,230,424,A,0.68
01_2021011409285679,302,548,260,495,E,0.86
01_2021011409285679,260,495,307,504,E,1.0
01_2021011409285679,302,548,307,504,E,1.0
01_2021011409285679,260,495,250,560,E,0.96
01_2021011409285679,486,367,486,235,B,0.96
01_2021011409285679,448,434,402,424,B,0.96
01_2021011409285679,415,502,402,424,E,0.96
01_2021011409285679,346,522,302,548,E,1.0
01_2021011409285679,346,522,307,504,E,1.0
01_2021011409285679,377,556,346,522,E,1.0
01_2021011409285679,415,502,346,522,E,1.0
01_2021011409285679,346,522,340,452,E,1.0
01_2021011409285679,340,452,307,504,E,1.0
01_2021011409285679,250,560,184,575,B,0.1
01_2021011409285679,260,495,221,512,E,0.86
01_2021011409285679,250,560,221,512,E,0.5
01_2021011409285679,221,512,184,575,A,0.1
01_2021011409285679,221,512,159,508,A,-0.0
01_2021011409285679,109,82,128,21,E,0.5
01_2021011409285679,173,25,128,21,B,0.28
01_2021011409285679,173,25,214,18,A,0.66
01_2021011409285679,115,324,67,359,B,0.3
01_2021011409285679,485,165,416,124,A,0.48
01_2021011409285679,312,16,338,70,B,0.34
01_2021011409285679,402,424,377,477,E,1.0
01_2021011409285679,415,502,377,477,E,1.0
01_2021011409285679,377,477,340,452,E,1.0
01_2021011409285679,402,424,340,452,E,1.0
01_2021011409285679,346,522,377,477,E,1.0
01_2021011409285679,402,424,380,383,E,1.0
01_2021011409285679,380,383,340,452,E,1.0
01_2021011409285679,380,383,373,333,A,0.88
01_2021011409285679,106,453,64,438,E,0.18
01_2021011409285679,158,331,115,324,E,0.7
01_2021011409285679,188,390,158,331,A,0.28
01_2021011409285679,115,324,163,281,B,0.06
01_2021011409285679,158,331,163,281,B,0.06
01_2021011409285679,213,298,158,331,B,0.82
01_2021011409285679,213,298,163,281,B,0.92
01_2021011409285679,115,324,115,273,B,0.28
01_2021011409285679,115,273,163,281,A,0.48
01_2021011409285679,340,123,338,70,B,0.74
01_2021011409285679,416,124,340,123,A,0.46
01_2021011409285679,380,383,324,372,A,0.88
01_2021011409285679,324,372,340,452,B,0.88
01_2021011409285679,324,372,373,333,E,0.92
01_2021011409285679,64,438,13,444,E,0.4
01_2021011409285679,47,398,67,359,E,0.5
01_2021011409285679,64,438,47,398,E,0.5
01_2021011409285679,13,444,47,398,E,0.5
01_2021011409285679,110,197,62,190,E,0.16
01_2021011409285679,115,273,110,197,E,0.16
01_2021011409285679,348,263,299,254,A,0.64
01_2021011409285679,213,298,241,225,A,0.92
01_2021011409285679,299,254,241,225,A,0.52
01_2021011409285679,154,203,115,273,A,0.06
01_2021011409285679,154,203,163,281,B,0.38
01_2021011409285679,154,203,110,197,E,0.7
01_2021011409285679,115,273,49,303,E,0.6
01_2021011409285679,115,324,49,303,E,0.16
01_2021011409285679,49,303,67,359,E,0.48
01_2021011409285679,163,99,128,21,E,0.1
01_2021011409285679,163,99,109,82,E,0.74
01_2021011409285679,163,99,173,25,E,0.38
01_2021011409285679,340,123,285,115,E,0.96
01_2021011409285679,285,115,338,70,B,0.78
01_2021011409285679,358,179,340,123,E,0.88
01_2021011409285679,201,135,163,99,B,0.92
01_2021011409285679,285,115,241,114,E,0.96
01_2021011409285679,201,135,241,114,A,0.78
01_2021011409290304,47,19,14,46,E,0.96
01_2021011409290304,422,110,480,141,E,1.0
01_2021011409290304,422,110,448,60,E,1.0
01_2021011409290304,305,162,361,200,B,0.92
01_2021011409290304,259,257,252,328,E,0.6
01_2021011409290304,449,254,447,298,E,0.96
01_2021011409290304,401,300,447,298,E,0.96
01_2021011409290304,449,254,401,300,E,0.96
01_2021011409290304,375,259,361,200,E,0.96
01_2021011409290304,252,328,303,347,B,0.96
01_2021011409290304,380,488,454,516,A,0.96
01_2021011409290304,454,516,425,554,B,1.0
01_2021011409290304,380,488,425,554,E,0.96
01_2021011409290304,221,482,290,468,E,0.96
01_2021011409290304,354,550,380,488,E,0.92
01_2021011409290304,354,550,425,554,E,0.92
01_2021011409290304,296,44,351,64,E,0.16
01_2021011409290304,296,44,268,86,A,0.64
01_2021011409290304,449,254,483,209,E,0.96
01_2021011409290304,483,209,480,141,E,0.96
01_2021011409290304,418,185,480,141,E,0.96
01_2021011409290304,418,185,422,110,E,0.96
01_2021011409290304,418,185,483,209,E,1.0
01_2021011409290304,351,64,397,54,A,0.72
01_2021011409290304,397,54,448,60,B,0.96
01_2021011409290304,422,110,397,54,A,0.96
01_2021011409290304,189,159,174,100,B,0.34
01_2021011409290304,259,257,277,205,E,0.88
01_2021011409290304,277,205,305,162,E,0.56
01_2021011409290304,352,117,397,54,A,0.92
01_2021011409290304,352,117,422,110,B,0.92
01_2021011409290304,352,117,351,64,A,0.48
01_2021011409290304,174,100,158,37,E,0.16
01_2021011409290304,252,328,208,314,B,0.92
01_2021011409290304,284,407,303,347,E,1.0
01_2021011409290304,221,482,193,423,A,0.06
01_2021011409290304,375,259,411,230,E,1.0
01_2021011409290304,411,230,361,200,E,1.0
01_2021011409290304,411,230,418,185,E,1.0
01_2021011409290304,361,200,418,185,E,1.0
01_2021011409290304,411,230,401,300,E,1.0
01_2021011409290304,411,230,449,254,E,1.0
01_2021011409290304,375,259,401,300,E,0.96
01_2021011409290304,411,230,483,209,E,0.96
01_2021011409290304,277,205,268,138,E,0.6
01_2021011409290304,305,162,268,138,E,0.66
01_2021011409290304,268,138,268,86,E,0.88
01_2021011409290304,305,162,352,117,B,0.32
01_2021011409290304,180,232,208,272,A,0.38
01_2021011409290304,180,232,259,257,A,0.88
01_2021011409290304,208,272,259,257,A,0.88
01_2021011409290304,208,272,252,328,A,0.88
01_2021011409290304,208,272,208,314,E,0.88
01_2021011409290304,140,265,208,272,E,0.06
01_2021011409290304,140,265,180,232,A,0.04
01_2021011409290304,135,141,174,100,A,0.06
01_2021011409290304,135,141,189,159,A,0.02
01_2021011409290304,135,141,85,101,A,0.12
01_2021011409290304,135,141,92,152,E,0.04
01_2021011409290304,92,152,85,101,A,0.52
01_2021011409290304,384,359,401,300,E,0.96
01_2021011409290304,284,407,290,468,E,1.0
01_2021011409290304,180,232,189,159,A,0.38
01_2021011409290304,305,107,352,117,B,0.48
01_2021011409290304,305,162,305,107,E,0.52
01_2021011409290304,268,138,305,107,B,0.38
01_2021011409290304,268,86,305,107,E,0.1
01_2021011409290304,305,107,351,64,E,0.3
01_2021011409290304,296,44,305,107,E,0.3
01_2021011409290304,418,185,392,149,E,0.96
01_2021011409290304,361,200,392,149,E,0.96
01_2021011409290304,392,149,422,110,E,0.96
01_2021011409290304,352,117,392,149,B,0.92
01_2021011409290304,180,232,152,180,A,0.42
01_2021011409290304,152,180,189,159,B,0.06
01_2021011409290304,135,141,152,180,E,0.74
01_2021011409290304,92,152,152,180,B,0.04
01_2021011409290304,140,265,152,180,A,0.42
01_2021011409290304,344,320,384,359,E,0.96
01_2021011409290304,344,320,401,300,E,0.96
01_2021011409290304,303,347,384,359,E,1.0
01_2021011409290304,303,347,344,320,E,1.0
01_2021011409290304,375,259,344,320,E,1.0
01_2021011409290304,284,407,331,409,E,1.0
01_2021011409290304,303,347,331,409,E,1.0
01_2021011409290304,384,359,331,409,E,1.0
01_2021011409290304,290,468,331,409,E,1.0
01_2021011409290304,394,415,331,409,E,1.0
01_2021011409290304,394,415,384,359,E,1.0
01_2021011409290304,97,205,152,180,E,0.04
01_2021011409290304,97,205,92,152,A,0.4
01_2021011409290304,97,205,140,265,B,0.16
01_2021011409290304,344,452,394,415,E,0.96
01_2021011409290304,344,452,331,409,E,0.96
01_2021011409290304,290,468,344,452,E,0.96
01_2021011409290304,344,452,380,488,E,0.96
01_2021011409291257,481,545,435,539,E,0.56
01_2021011409291257,366,545,404,573,E,0.96
01_2021011409291257,435,539,404,573,A,-0.0
01_2021011409291257,435,539,366,545,B,0.5
01_2021011409291257,322,72,267,38,A,0.22
01_2021011409291257,368,108,368,52,E,0.78
01_2021011409291257,368,52,322,72,E,0.96
01_2021011409291257,368,108,322,72,E,0.96
01_2021011409291257,368,108,427,112,E,0.58
01_2021011409291257,342,466,317,543,E,0.96
01_2021011409291257,342,466,366,545,E,0.96
01_2021011409291257,366,545,317,543,E,0.96
01_2021011409291257,271,503,317,543,E,0.96
01_2021011409291257,271,503,342,466,E,0.96
01_2021011409291257,317,543,309,585,E,0.96
01_2021011409291257,481,545,480,460,E,0.96
01_2021011409291257,465,402,480,460,E,0.92
01_2021011409291257,401,437,480,460,A,0.46
01_2021011409291257,401,437,465,402,A,0.46
01_2021011409291257,427,112,471,92,A,0.22
01_2021011409291257,407,479,480,460,A,0.36
01_2021011409291257,407,479,401,437,E,0.96
01_2021011409291257,407,479,435,539,A,0.46
01_2021011409291257,407,479,366,545,E,0.96
01_2021011409291257,407,479,342,466,E,0.96
01_2021011409291257,401,437,342,466,E,0.96
01_2021011409291257,455,494,481,545,E,0.96
01_2021011409291257,455,494,435,539,E,0.24
01_2021011409291257,455,494,480,460,E,0.96
01_2021011409291257,407,479,455,494,A,0.5
01_2021011409291257,286,109,214,116,E,0.52
01_2021011409291257,214,116,246,84,B,0.6
01_2021011409291257,286,109,246,84,B,0.6
01_2021011409291257,267,38,286,109,A,0.06
01_2021011409291257,267,38,246,84,B,0.38
01_2021011409291257,322,72,286,109,E,0.92
01_2021011409291257,223,178,214,116,E,0.92
01_2021011409291257,427,112,412,168,A,0.44
01_2021011409291257,368,108,412,168,A,0.16
01_2021011409291257,423,400,465,402,E,0.92
01_2021011409291257,423,400,401,437,B,0.46
01_2021011409291257,380,364,423,400,A,0.46
01_2021011409291257,357,425,342,466,E,1.0
01_2021011409291257,357,425,401,437,E,1.0
01_2021011409291257,423,400,357,425,B,0.5
01_2021011409291257,380,364,357,425,E,1.0
01_2021011409291257,476,155,443,204,E,0.8
01_2021011409291257,476,155,471,92,E,0.5
01_2021011409291257,427,112,476,155,E,0.04
01_2021011409291257,412,168,476,155,E,0.38
01_2021011409291257,412,168,443,204,E,0.16
01_2021011409291257,271,503,238,542,A,0.68
01_2021011409291257,317,543,238,542,A,0.64
01_2021011409291257,223,178,242,221,E,0.6
01_2021011409291257,244,296,242,221,B,0.52
01_2021011409291257,283,462,342,466,E,0.96
01_2021011409291257,283,462,271,503,E,1.0
01_2021011409291599,83,381,12,361,E,0.18
01_2021011409291599,83,381,26,416,E,0.06
01_2021011409291599,12,361,26,416,E,0.3
01_2021011409291599,152,40,146,112,E,0.4
01_2021011409291599,152,40,196,84,A,0.18
01_2021011409291599,196,84,146,112,B,0.18
01_2021011409291599,52,256,70,298,E,0.3
01_2021011409291599,116,283,52,256,B,0.34
01_2021011409291599,116,283,70,298,B,0.38
01_2021011409291599,50,457,83,381,B,0.44
01_2021011409291599,50,457,26,416,B,0.6
01_2021011409291599,52,341,83,381,E,0.28
01_2021011409291599,52,341,12,361,E,0.38
01_2021011409291599,52,341,70,298,E,0.28
01_2021011409291599,279,229,212,246,B,0.54
01_2021011409291599,121,224,52,256,E,0.04
01_2021011409291599,121,224,116,283,B,0.34
01_2021011409291599,221,385,148,373,E,0.06
01_2021011409291599,378,181,390,131,E,0.96
01_2021011409291599,431,156,390,131,E,0.24
01_2021011409291599,378,181,431,156,A,0.68
01_2021011409291599,133,177,121,224,E,0.4
01_2021011409291599,212,246,168,237,E,0.16
01_2021011409291599,121,224,168,237,E,0.04
01_2021011409291599,168,237,116,283,A,0.24
01_2021011409291599,233,204,212,246,B,0.22
01_2021011409291599,279,229,233,204,B,0.64
01_2021011409291599,122,441,83,381,B,0.06
01_2021011409291599,122,441,137,484,A,0.54
01_2021011409291599,148,373,83,381,E,0.32
01_2021011409291599,50,457,15,509,E,0.78
01_2021011409291599,244,330,221,385,E,0.28
01_2021011409291599,375,587,289,585,E,0.92
01_2021011409291599,333,564,375,587,E,0.96
01_2021011409291599,333,564,289,585,E,0.96
01_2021011409291599,148,373,105,335,A,0.6
01_2021011409291599,105,335,83,381,B,0.7
01_2021011409291599,116,283,105,335,E,0.42
01_2021011409291599,105,335,70,298,B,0.4
01_2021011409291599,105,335,52,341,B,0.4
01_2021011409291599,268,31,233,63,E,0.46
01_2021011409291599,268,31,457,14,E,0.02
01_2021011409291599,103,112,47,134,A,0.12
01_2021011409291599,454,115,390,131,A,0.32
01_2021011409291599,454,115,431,156,A,0.38
01_2021011409291599,268,31,312,45,E,0.7
01_2021011409291599,310,90,312,45,E,0.96
01_2021011409291599,310,90,268,31,E,0.96
01_2021011409291599,312,45,361,31,E,0.6
01_2021011409291599,268,31,361,31,E,0.2
01_2021011409291599,366,73,312,45,A,0.56
01_2021011409291599,366,73,310,90,A,0.52
01_2021011409291599,366,73,361,31,A,0.52
01_2021011409291599,451,585,375,587,B,0.96
01_2021011409291599,467,454,437,487,E,0.96
01_2021011409291599,384,536,333,564,E,0.96
01_2021011409291599,384,536,375,587,E,0.96
01_2021011409291599,384,536,437,487,A,1.0
01_2021011409291599,396,477,384,536,E,0.96
01_2021011409291599,396,477,437,487,A,1.0
01_2021011409291599,451,585,384,536,B,1.0
01_2021011409291599,221,385,256,418,E,0.6
01_2021011409291599,285,465,290,510,E,0.96
01_2021011409291599,290,510,233,517,E,0.96
01_2021011409291599,285,465,233,517,E,0.96
01_2021011409291599,290,510,248,563,E,0.96
01_2021011409291599,233,517,248,563,E,0.96
01_2021011409291599,290,510,289,585,E,0.96
01_2021011409291599,289,585,248,563,E,0.96
01_2021011409291599,290,510,333,564,E,0.96
01_2021011409291599,429,430,437,487,E,1.0
01_2021011409291599,429,430,396,477,B,0.6
01_2021011409291599,467,454,429,430,E,1.0
01_2021011409291599,429,430,387,426,B,0.6
01_2021011409291599,396,477,387,426,E,1.0
01_2021011409291599,385,376,387,426,E,1.0
01_2021011409291599,429,430,385,376,B,0.96
01_2021011409291599,366,73,390,131,E,0.52
01_2021011409291599,270,108,233,63,E,0.46
01_2021011409291599,310,90,270,108,E,0.46
01_2021011409291599,270,108,268,31,E,0.82
01_2021011409291599,103,112,84,156,E,0.5
01_2021011409291599,466,64,454,115,B,0.54
01_2021011409291599,466,64,457,14,E,0.84
01_2021011409291599,377,322,385,376,B,0.96
01_2021011409291599,453,532,384,536,B,1.0
01_2021011409291599,453,532,437,487,E,0.96
01_2021011409291599,453,532,451,585,E,1.0
01_2021011409291599,216,438,256,418,A,0.38
01_2021011409291599,256,418,285,465,B,0.84
01_2021011409291599,216,438,285,465,B,0.28
01_2021011409291599,216,438,233,517,B,0.24
01_2021011409291599,221,385,216,438,E,0.04
01_2021011409291599,384,536,340,509,E,1.0
01_2021011409291599,333,564,340,509,E,1.0
01_2021011409291599,290,510,340,509,E,1.0
01_2021011409291599,396,477,340,509,E,1.0
01_2021011409291599,285,465,340,509,E,1.0
01_2021011409291599,463,400,429,430,E,1.0
01_2021011409291599,463,400,467,454,E,1.0
01_2021011409291599,454,115,485,178,A,0.26
01_2021011409291599,431,156,485,178,B,0.06
01_2021011409291599,485,226,485,178,A,0.28
01_2021011409291599,411,91,466,64,E,0.84
01_2021011409291599,366,73,411,91,E,0.14
01_2021011409291599,411,91,454,115,B,0.48
01_2021011409291599,411,91,390,131,E,0.78
01_2021011409291599,342,446,340,509,E,0.96
01_2021011409291599,285,465,342,446,E,0.96
01_2021011409291599,342,446,387,426,E,0.96
01_2021011409291599,342,446,396,477,E,0.96
01_2021011409292208,404,579,467,581,A,0.96
01_2021011409292208,296,454,381,443,E,0.96
01_2021011409292208,296,454,331,416,A,0.48
01_2021011409292208,381,443,331,416,A,0.52
01_2021011409292208,314,516,263,569,E,1.0
01_2021011409292208,263,569,277,493,E,1.0
01_2021011409292208,314,516,277,493,E,1.0
01_2021011409292208,296,454,314,516,E,1.0
